date,region_schema,region_parent,region_child,agerange,value
2020-03-08,cz_okres,cz,cz0426,,0
2020-03-08,cz_okres,cz,cz0427,,0
2020-03-08,cz_okres,cz,cz0511,,0
2020-03-08,cz_okres,cz,cz0512,,0
2020-03-08,cz_okres,cz,cz0513,,0
2020-03-08,cz_okres,cz,cz0514,,0
2020-03-08,cz_okres,cz,cz0521,,0
2020-03-08,cz_okres,cz,cz0522,,0
2020-03-08,cz_okres,cz,cz0523,,0
2020-03-08,cz_okres,cz,cz0524,,0
2020-03-08,cz_okres,cz,cz0525,,0
2020-03-08,cz_okres,cz,cz0531,,0
2020-03-08,cz_okres,cz,cz0532,,0
2020-03-08,cz_okres,cz,cz0533,,0
2020-03-08,cz_okres,cz,cz0534,,0
2020-03-08,cz_okres,cz,cz0631,,0
2020-03-08,cz_okres,cz,cz0632,,0
2020-03-08,cz_okres,cz,cz0633,,0
2020-03-08,cz_okres,cz,cz0634,,0
2020-03-08,cz_okres,cz,cz0635,,0
2020-03-08,cz_okres,cz,cz0641,,0
2020-03-08,cz_okres,cz,cz0642,,0
2020-03-08,cz_okres,cz,cz0643,,0
2020-03-08,cz_okres,cz,cz0644,,0
2020-03-08,cz_okres,cz,cz0645,,0
2020-03-08,cz_okres,cz,cz0646,,0
2020-03-08,cz_okres,cz,cz0647,,0
2020-03-08,cz_okres,cz,cz0711,,0
2020-03-08,cz_okres,cz,cz0712,,0
2020-03-08,cz_okres,cz,cz0713,,0
2020-03-08,cz_okres,cz,cz0714,,0
2020-03-08,cz_okres,cz,cz0715,,0
2020-03-08,cz_okres,cz,cz0721,,0
2020-03-08,cz_okres,cz,cz0722,,0
2020-03-08,cz_okres,cz,cz0723,,0
2020-03-08,cz_okres,cz,cz0724,,0
2020-03-08,cz_okres,cz,cz0801,,0
2020-03-08,cz_okres,cz,cz0802,,0
2020-03-08,cz_okres,cz,cz0803,,0
2020-03-08,cz_okres,cz,cz0804,,0
2020-03-08,cz_okres,cz,cz0805,,0
2020-03-08,cz_okres,cz,cz0806,,0
2020-03-08,cz_okres,cz,unknown,,0
2020-03-09,cz_okres,cz,cz0100,,0
2020-03-09,cz_okres,cz,cz0201,,0
2020-03-09,cz_okres,cz,cz0202,,0
2020-03-09,cz_okres,cz,cz0203,,0
2020-03-09,cz_okres,cz,cz0204,,0
2020-03-09,cz_okres,cz,cz0205,,0
2020-03-09,cz_okres,cz,cz0206,,0
2020-03-09,cz_okres,cz,cz0207,,0
2020-03-09,cz_okres,cz,cz0208,,0
2020-03-09,cz_okres,cz,cz0209,,0
2020-03-09,cz_okres,cz,cz020a,,0
2020-03-09,cz_okres,cz,cz020b,,0
2020-03-09,cz_okres,cz,cz020c,,0
2020-03-09,cz_okres,cz,cz0311,,0
2020-03-09,cz_okres,cz,cz0312,,0
2020-03-09,cz_okres,cz,cz0313,,0
2020-03-09,cz_okres,cz,cz0314,,0
2020-03-09,cz_okres,cz,cz0315,,0
2020-03-09,cz_okres,cz,cz0316,,0
2020-03-09,cz_okres,cz,cz0317,,0
2020-03-09,cz_okres,cz,cz0321,,0
2020-03-09,cz_okres,cz,cz0322,,0
2020-03-09,cz_okres,cz,cz0323,,0
2020-03-09,cz_okres,cz,cz0324,,0
2020-03-09,cz_okres,cz,cz0325,,0
2020-03-09,cz_okres,cz,cz0326,,0
2020-03-09,cz_okres,cz,cz0327,,0
2020-03-09,cz_okres,cz,cz0411,,0
2020-03-09,cz_okres,cz,cz0412,,0
2020-03-09,cz_okres,cz,cz0413,,0
2020-03-09,cz_okres,cz,cz0421,,0
2020-03-09,cz_okres,cz,cz0422,,0
2020-03-09,cz_okres,cz,cz0423,,0
2020-03-09,cz_okres,cz,cz0424,,0
2020-03-09,cz_okres,cz,cz0425,,0
2020-03-09,cz_okres,cz,cz0426,,0
2020-03-09,cz_okres,cz,cz0427,,0
2020-03-09,cz_okres,cz,cz0511,,0
2020-03-09,cz_okres,cz,cz0512,,0
2020-03-09,cz_okres,cz,cz0513,,0
2020-03-09,cz_okres,cz,cz0514,,0
2020-03-09,cz_okres,cz,cz0521,,0
2020-03-09,cz_okres,cz,cz0522,,0
2020-03-09,cz_okres,cz,cz0523,,0
2020-03-09,cz_okres,cz,cz0524,,0
2020-03-09,cz_okres,cz,cz0525,,0
2020-03-09,cz_okres,cz,cz0531,,0
2020-03-09,cz_okres,cz,cz0532,,0
2020-03-09,cz_okres,cz,cz0533,,0
2020-03-09,cz_okres,cz,cz0534,,0
2020-03-09,cz_okres,cz,cz0631,,0
2020-03-09,cz_okres,cz,cz0632,,0
2020-03-09,cz_okres,cz,cz0633,,0
2020-03-09,cz_okres,cz,cz0634,,0
2020-03-09,cz_okres,cz,cz0635,,0
2020-03-09,cz_okres,cz,cz0641,,0
2020-03-09,cz_okres,cz,cz0642,,0
2020-03-09,cz_okres,cz,cz0643,,0
2020-03-09,cz_okres,cz,cz0644,,0
2020-03-09,cz_okres,cz,cz0645,,0
2020-03-09,cz_okres,cz,cz0646,,0
2020-03-09,cz_okres,cz,cz0647,,0
2020-03-09,cz_okres,cz,cz0711,,0
2020-03-09,cz_okres,cz,cz0712,,0
2020-03-09,cz_okres,cz,cz0713,,0
2020-03-09,cz_okres,cz,cz0714,,0
2020-03-09,cz_okres,cz,cz0715,,0
2020-03-09,cz_okres,cz,cz0721,,0
2020-03-09,cz_okres,cz,cz0722,,0
2020-03-09,cz_okres,cz,cz0723,,0
2020-03-09,cz_okres,cz,cz0724,,0
2020-03-09,cz_okres,cz,cz0801,,0
2020-03-09,cz_okres,cz,cz0802,,0
2020-03-09,cz_okres,cz,cz0803,,0
2020-03-09,cz_okres,cz,cz0804,,0
2020-03-09,cz_okres,cz,cz0805,,0
2020-03-09,cz_okres,cz,cz0806,,0
2020-03-09,cz_okres,cz,unknown,,0
2020-03-10,cz_okres,cz,cz0100,,0
2020-03-10,cz_okres,cz,cz0201,,0
2020-03-10,cz_okres,cz,cz0202,,0
2020-03-10,cz_okres,cz,cz0203,,0
2020-03-10,cz_okres,cz,cz0204,,0
2020-03-10,cz_okres,cz,cz0205,,0
2020-03-10,cz_okres,cz,cz0206,,0
2020-03-10,cz_okres,cz,cz0207,,0
2020-03-10,cz_okres,cz,cz0208,,0
2020-03-10,cz_okres,cz,cz0209,,0
2020-03-10,cz_okres,cz,cz020a,,0
2020-03-10,cz_okres,cz,cz020b,,0
2020-03-10,cz_okres,cz,cz020c,,0
2020-03-10,cz_okres,cz,cz0311,,0
2020-03-10,cz_okres,cz,cz0312,,0
2020-03-10,cz_okres,cz,cz0313,,0
2020-03-10,cz_okres,cz,cz0314,,0
2020-03-10,cz_okres,cz,cz0315,,0
2020-03-10,cz_okres,cz,cz0316,,0
2020-03-10,cz_okres,cz,cz0317,,0
2020-03-10,cz_okres,cz,cz0321,,0
2020-03-10,cz_okres,cz,cz0322,,0
2020-03-10,cz_okres,cz,cz0323,,0
2020-03-10,cz_okres,cz,cz0324,,0
2020-03-10,cz_okres,cz,cz0325,,0
2020-03-10,cz_okres,cz,cz0326,,0
2020-03-10,cz_okres,cz,cz0327,,0
2020-03-10,cz_okres,cz,cz0411,,0
2020-03-10,cz_okres,cz,cz0412,,0
2020-03-10,cz_okres,cz,cz0413,,0
2020-03-10,cz_okres,cz,cz0421,,0
2020-03-10,cz_okres,cz,cz0422,,0
2020-03-10,cz_okres,cz,cz0423,,0
2020-03-10,cz_okres,cz,cz0424,,0
2020-03-10,cz_okres,cz,cz0425,,0
2020-03-10,cz_okres,cz,cz0426,,0
2020-03-10,cz_okres,cz,cz0427,,0
2020-03-10,cz_okres,cz,cz0511,,0
2020-03-10,cz_okres,cz,cz0512,,0
2020-03-10,cz_okres,cz,cz0513,,0
2020-03-10,cz_okres,cz,cz0514,,0
2020-03-10,cz_okres,cz,cz0521,,0
2020-03-10,cz_okres,cz,cz0522,,0
2020-03-10,cz_okres,cz,cz0523,,0
2020-03-10,cz_okres,cz,cz0524,,0
2020-03-10,cz_okres,cz,cz0525,,0
2020-03-10,cz_okres,cz,cz0531,,0
2020-03-10,cz_okres,cz,cz0532,,0
2020-03-10,cz_okres,cz,cz0533,,0
2020-03-10,cz_okres,cz,cz0534,,0
2020-03-10,cz_okres,cz,cz0631,,0
2020-03-10,cz_okres,cz,cz0632,,0
2020-03-10,cz_okres,cz,cz0633,,0
2020-03-10,cz_okres,cz,cz0634,,0
2020-03-10,cz_okres,cz,cz0635,,0
2020-03-10,cz_okres,cz,cz0641,,0
2020-03-10,cz_okres,cz,cz0642,,0
2020-03-10,cz_okres,cz,cz0643,,0
2020-03-10,cz_okres,cz,cz0644,,0
2020-03-10,cz_okres,cz,cz0645,,0
2020-03-10,cz_okres,cz,cz0646,,0
2020-03-10,cz_okres,cz,cz0647,,0
2020-03-10,cz_okres,cz,cz0711,,0
2020-03-10,cz_okres,cz,cz0712,,0
2020-03-10,cz_okres,cz,cz0713,,0
2020-03-10,cz_okres,cz,cz0714,,0
2020-03-10,cz_okres,cz,cz0715,,0
2020-03-10,cz_okres,cz,cz0721,,0
2020-03-10,cz_okres,cz,cz0722,,0
2020-03-10,cz_okres,cz,cz0723,,0
2020-03-10,cz_okres,cz,cz0724,,0
2020-03-10,cz_okres,cz,cz0801,,0
2020-03-10,cz_okres,cz,cz0802,,0
2020-03-10,cz_okres,cz,cz0803,,0
2020-03-10,cz_okres,cz,cz0804,,0
2020-03-10,cz_okres,cz,cz0805,,0
2020-03-10,cz_okres,cz,cz0806,,0
2020-03-10,cz_okres,cz,unknown,,0
2020-03-11,cz_okres,cz,cz0100,,0
2020-03-11,cz_okres,cz,cz0201,,0
2020-03-11,cz_okres,cz,cz0202,,0
2020-03-11,cz_okres,cz,cz0203,,0
2020-03-11,cz_okres,cz,cz0204,,0
2020-03-11,cz_okres,cz,cz0205,,0
2020-03-11,cz_okres,cz,cz0206,,0
2020-03-11,cz_okres,cz,cz0207,,0
2020-03-11,cz_okres,cz,cz0208,,0
2020-03-11,cz_okres,cz,cz0209,,0
2020-03-11,cz_okres,cz,cz020a,,0
2020-03-11,cz_okres,cz,cz020b,,0
2020-03-11,cz_okres,cz,cz020c,,0
2020-03-11,cz_okres,cz,cz0311,,0
2020-03-11,cz_okres,cz,cz0312,,0
2020-03-11,cz_okres,cz,cz0313,,0
2020-03-11,cz_okres,cz,cz0314,,0
2020-03-11,cz_okres,cz,cz0315,,0
2020-03-11,cz_okres,cz,cz0316,,0
2020-03-11,cz_okres,cz,cz0317,,0
2020-03-11,cz_okres,cz,cz0321,,0
2020-03-11,cz_okres,cz,cz0322,,0
2020-03-11,cz_okres,cz,cz0323,,0
2020-03-11,cz_okres,cz,cz0324,,0
2020-03-11,cz_okres,cz,cz0325,,0
2020-03-11,cz_okres,cz,cz0326,,0
2020-03-11,cz_okres,cz,cz0327,,0
2020-03-11,cz_okres,cz,cz0411,,0
2020-03-11,cz_okres,cz,cz0412,,0
2020-03-11,cz_okres,cz,cz0413,,0
2020-03-11,cz_okres,cz,cz0421,,0
2020-03-11,cz_okres,cz,cz0422,,0
2020-03-11,cz_okres,cz,cz0423,,0
2020-03-11,cz_okres,cz,cz0424,,0
2020-03-11,cz_okres,cz,cz0425,,0
2020-03-11,cz_okres,cz,cz0426,,0
2020-03-11,cz_okres,cz,cz0427,,0
2020-03-11,cz_okres,cz,cz0511,,0
2020-03-11,cz_okres,cz,cz0512,,0
2020-03-11,cz_okres,cz,cz0513,,0
2020-03-11,cz_okres,cz,cz0514,,0
2020-03-11,cz_okres,cz,cz0521,,0
2020-03-11,cz_okres,cz,cz0522,,0
2020-03-11,cz_okres,cz,cz0523,,0
2020-03-11,cz_okres,cz,cz0524,,0
2020-03-11,cz_okres,cz,cz0525,,0
2020-03-11,cz_okres,cz,cz0531,,0
2020-03-11,cz_okres,cz,cz0532,,0
2020-03-11,cz_okres,cz,cz0533,,0
2020-03-11,cz_okres,cz,cz0534,,0
2020-03-11,cz_okres,cz,cz0631,,0
2020-03-11,cz_okres,cz,cz0632,,0
2020-03-11,cz_okres,cz,cz0633,,0
2020-03-11,cz_okres,cz,cz0634,,0
2020-03-11,cz_okres,cz,cz0635,,0
2020-03-11,cz_okres,cz,cz0641,,0
2020-03-11,cz_okres,cz,cz0642,,0
2020-03-11,cz_okres,cz,cz0643,,0
2020-03-11,cz_okres,cz,cz0644,,0
2020-03-11,cz_okres,cz,cz0645,,0
2020-03-11,cz_okres,cz,cz0646,,0
2020-03-11,cz_okres,cz,cz0647,,0
2020-03-11,cz_okres,cz,cz0711,,0
2020-03-11,cz_okres,cz,cz0712,,0
2020-03-11,cz_okres,cz,cz0713,,0
2020-03-11,cz_okres,cz,cz0714,,0
2020-03-11,cz_okres,cz,cz0715,,0
2020-03-11,cz_okres,cz,cz0721,,0
2020-03-11,cz_okres,cz,cz0722,,0
2020-03-11,cz_okres,cz,cz0723,,0
2020-03-11,cz_okres,cz,cz0724,,0
2020-03-11,cz_okres,cz,cz0801,,0
2020-03-11,cz_okres,cz,cz0802,,0
2020-03-11,cz_okres,cz,cz0803,,0
2020-03-11,cz_okres,cz,cz0804,,0
2020-03-11,cz_okres,cz,cz0805,,0
2020-03-11,cz_okres,cz,cz0806,,0
2020-03-11,cz_okres,cz,unknown,,0
2020-03-12,cz_okres,cz,cz0100,,0
2020-03-12,cz_okres,cz,cz0201,,0
2020-03-12,cz_okres,cz,cz0202,,0
2020-03-12,cz_okres,cz,cz0203,,0
2020-03-12,cz_okres,cz,cz0204,,0
2020-03-12,cz_okres,cz,cz0205,,0
2020-03-12,cz_okres,cz,cz0206,,0
2020-03-12,cz_okres,cz,cz0207,,0
2020-03-12,cz_okres,cz,cz0208,,0
2020-03-12,cz_okres,cz,cz0209,,0
2020-03-12,cz_okres,cz,cz020a,,0
2020-03-12,cz_okres,cz,cz020b,,0
2020-03-12,cz_okres,cz,cz020c,,0
2020-03-12,cz_okres,cz,cz0311,,0
2020-03-12,cz_okres,cz,cz0312,,0
2020-03-12,cz_okres,cz,cz0313,,0
2020-03-12,cz_okres,cz,cz0314,,0
2020-03-12,cz_okres,cz,cz0315,,0
2020-03-12,cz_okres,cz,cz0316,,0
2020-03-12,cz_okres,cz,cz0317,,0
2020-03-12,cz_okres,cz,cz0321,,0
2020-03-12,cz_okres,cz,cz0322,,0
2020-03-12,cz_okres,cz,cz0323,,0
2020-03-12,cz_okres,cz,cz0324,,0
2020-03-12,cz_okres,cz,cz0325,,0
2020-03-12,cz_okres,cz,cz0326,,0
2020-03-12,cz_okres,cz,cz0327,,0
2020-03-12,cz_okres,cz,cz0411,,0
2020-03-12,cz_okres,cz,cz0412,,0
2020-03-12,cz_okres,cz,cz0413,,0
2020-03-12,cz_okres,cz,cz0421,,0
2020-03-12,cz_okres,cz,cz0422,,0
2020-03-12,cz_okres,cz,cz0423,,0
2020-03-12,cz_okres,cz,cz0424,,0
2020-03-12,cz_okres,cz,cz0425,,0
2020-03-12,cz_okres,cz,cz0426,,0
2020-03-12,cz_okres,cz,cz0427,,0
2020-03-12,cz_okres,cz,cz0511,,0
2020-03-12,cz_okres,cz,cz0512,,0
2020-03-12,cz_okres,cz,cz0513,,0
2020-03-12,cz_okres,cz,cz0514,,0
2020-03-12,cz_okres,cz,cz0521,,0
2020-03-12,cz_okres,cz,cz0522,,0
2020-03-12,cz_okres,cz,cz0523,,0
2020-03-12,cz_okres,cz,cz0524,,0
2020-03-12,cz_okres,cz,cz0525,,0
2020-03-12,cz_okres,cz,cz0531,,0
2020-03-12,cz_okres,cz,cz0532,,0
2020-03-12,cz_okres,cz,cz0533,,0
2020-03-12,cz_okres,cz,cz0534,,0
2020-03-12,cz_okres,cz,cz0631,,0
2020-03-12,cz_okres,cz,cz0632,,0
2020-03-12,cz_okres,cz,cz0633,,0
2020-03-12,cz_okres,cz,cz0634,,0
2020-03-12,cz_okres,cz,cz0635,,0
2020-03-12,cz_okres,cz,cz0641,,0
2020-03-12,cz_okres,cz,cz0642,,0
2020-03-12,cz_okres,cz,cz0643,,0
2020-03-12,cz_okres,cz,cz0644,,0
2020-03-12,cz_okres,cz,cz0645,,0
2020-03-12,cz_okres,cz,cz0646,,0
2020-03-12,cz_okres,cz,cz0647,,0
2020-03-12,cz_okres,cz,cz0711,,0
2020-03-12,cz_okres,cz,cz0712,,0
2020-03-12,cz_okres,cz,cz0713,,0
2020-03-12,cz_okres,cz,cz0714,,0
2020-03-12,cz_okres,cz,cz0715,,0
2020-03-12,cz_okres,cz,cz0721,,0
2020-03-12,cz_okres,cz,cz0722,,0
2020-03-12,cz_okres,cz,cz0723,,0
2020-03-12,cz_okres,cz,cz0724,,0
2020-03-12,cz_okres,cz,cz0801,,0
2020-03-12,cz_okres,cz,cz0802,,0
2020-03-12,cz_okres,cz,cz0803,,0
2020-03-12,cz_okres,cz,cz0804,,0
2020-03-12,cz_okres,cz,cz0805,,0
2020-03-12,cz_okres,cz,cz0806,,0
2020-03-12,cz_okres,cz,unknown,,0
2020-03-13,cz_okres,cz,cz0100,,0
2020-03-13,cz_okres,cz,cz0201,,0
2020-03-13,cz_okres,cz,cz0202,,0
2020-03-13,cz_okres,cz,cz0203,,0
2020-03-13,cz_okres,cz,cz0204,,0
2020-03-13,cz_okres,cz,cz0205,,0
2020-03-13,cz_okres,cz,cz0206,,0
2020-03-13,cz_okres,cz,cz0207,,0
2020-03-13,cz_okres,cz,cz0208,,0
2020-03-13,cz_okres,cz,cz0209,,0
2020-03-13,cz_okres,cz,cz020a,,0
2020-03-13,cz_okres,cz,cz020b,,0
2020-03-13,cz_okres,cz,cz020c,,0
2020-03-13,cz_okres,cz,cz0311,,0
2020-03-13,cz_okres,cz,cz0312,,0
2020-03-13,cz_okres,cz,cz0313,,0
2020-03-13,cz_okres,cz,cz0314,,0
2020-03-13,cz_okres,cz,cz0315,,0
2020-03-13,cz_okres,cz,cz0316,,0
2020-03-13,cz_okres,cz,cz0317,,0
2020-03-13,cz_okres,cz,cz0321,,0
2020-03-13,cz_okres,cz,cz0322,,0
2020-03-13,cz_okres,cz,cz0323,,0
2020-03-13,cz_okres,cz,cz0324,,0
2020-03-13,cz_okres,cz,cz0325,,0
2020-03-13,cz_okres,cz,cz0326,,0
2020-03-13,cz_okres,cz,cz0327,,0
2020-03-13,cz_okres,cz,cz0411,,0
2020-03-13,cz_okres,cz,cz0412,,0
2020-03-13,cz_okres,cz,cz0413,,0
2020-03-13,cz_okres,cz,cz0421,,0
2020-03-13,cz_okres,cz,cz0422,,0
2020-03-13,cz_okres,cz,cz0423,,0
2020-03-13,cz_okres,cz,cz0424,,0
2020-03-13,cz_okres,cz,cz0425,,0
2020-03-13,cz_okres,cz,cz0426,,0
2020-03-13,cz_okres,cz,cz0427,,0
2020-03-13,cz_okres,cz,cz0511,,0
2020-03-13,cz_okres,cz,cz0512,,0
2020-03-13,cz_okres,cz,cz0513,,0
2020-03-13,cz_okres,cz,cz0514,,0
2020-03-13,cz_okres,cz,cz0521,,0
2020-03-13,cz_okres,cz,cz0522,,0
2020-03-13,cz_okres,cz,cz0523,,0
2020-03-13,cz_okres,cz,cz0524,,0
2020-03-13,cz_okres,cz,cz0525,,0
2020-03-13,cz_okres,cz,cz0531,,0
2020-03-13,cz_okres,cz,cz0532,,0
2020-03-13,cz_okres,cz,cz0533,,0
2020-03-13,cz_okres,cz,cz0534,,0
2020-03-13,cz_okres,cz,cz0631,,0
2020-03-13,cz_okres,cz,cz0632,,0
2020-03-13,cz_okres,cz,cz0633,,0
2020-03-13,cz_okres,cz,cz0634,,0
2020-03-13,cz_okres,cz,cz0635,,0
2020-03-13,cz_okres,cz,cz0641,,0
2020-03-13,cz_okres,cz,cz0642,,0
2020-03-13,cz_okres,cz,cz0643,,0
2020-03-13,cz_okres,cz,cz0644,,0
2020-03-13,cz_okres,cz,cz0645,,0
2020-03-13,cz_okres,cz,cz0646,,0
2020-03-13,cz_okres,cz,cz0647,,0
2020-03-13,cz_okres,cz,cz0711,,0
2020-03-13,cz_okres,cz,cz0712,,0
2020-03-13,cz_okres,cz,cz0713,,0
2020-03-13,cz_okres,cz,cz0714,,0
2020-03-13,cz_okres,cz,cz0715,,0
2020-03-13,cz_okres,cz,cz0721,,0
2020-03-13,cz_okres,cz,cz0722,,0
2020-03-13,cz_okres,cz,cz0723,,0
2020-03-13,cz_okres,cz,cz0724,,0
2020-03-13,cz_okres,cz,cz0801,,0
2020-03-13,cz_okres,cz,cz0802,,0
2020-03-13,cz_okres,cz,cz0803,,0
2020-03-13,cz_okres,cz,cz0804,,0
2020-03-13,cz_okres,cz,cz0805,,0
2020-03-13,cz_okres,cz,cz0806,,0
2020-03-13,cz_okres,cz,unknown,,0
2020-03-14,cz_okres,cz,cz0100,,0
2020-03-14,cz_okres,cz,cz0201,,0
2020-03-14,cz_okres,cz,cz0202,,0
2020-03-14,cz_okres,cz,cz0203,,0
2020-03-14,cz_okres,cz,cz0204,,0
2020-03-14,cz_okres,cz,cz0205,,0
2020-03-14,cz_okres,cz,cz0206,,0
2020-03-14,cz_okres,cz,cz0207,,0
2020-03-14,cz_okres,cz,cz0208,,0
2020-03-14,cz_okres,cz,cz0209,,0
2020-03-14,cz_okres,cz,cz020a,,0
2020-03-14,cz_okres,cz,cz020b,,0
2020-03-14,cz_okres,cz,cz020c,,0
2020-03-14,cz_okres,cz,cz0311,,0
2020-03-14,cz_okres,cz,cz0312,,0
2020-03-14,cz_okres,cz,cz0313,,0
2020-03-14,cz_okres,cz,cz0314,,0
2020-03-14,cz_okres,cz,cz0315,,0
2020-03-14,cz_okres,cz,cz0316,,0
2020-03-14,cz_okres,cz,cz0317,,0
2020-03-14,cz_okres,cz,cz0321,,0
2020-03-14,cz_okres,cz,cz0322,,0
2020-03-14,cz_okres,cz,cz0323,,0
2020-03-14,cz_okres,cz,cz0324,,0
2020-03-14,cz_okres,cz,cz0325,,0
2020-03-14,cz_okres,cz,cz0326,,0
2020-03-14,cz_okres,cz,cz0327,,0
2020-03-14,cz_okres,cz,cz0411,,0
2020-03-14,cz_okres,cz,cz0412,,0
2020-03-14,cz_okres,cz,cz0413,,0
2020-03-14,cz_okres,cz,cz0421,,0
2020-03-14,cz_okres,cz,cz0422,,0
2020-03-14,cz_okres,cz,cz0423,,0
2020-03-14,cz_okres,cz,cz0424,,0
2020-03-14,cz_okres,cz,cz0425,,0
2020-03-14,cz_okres,cz,cz0426,,0
2020-03-14,cz_okres,cz,cz0427,,0
2020-03-14,cz_okres,cz,cz0511,,0
2020-03-14,cz_okres,cz,cz0512,,0
2020-03-14,cz_okres,cz,cz0513,,0
2020-03-14,cz_okres,cz,cz0514,,0
2020-03-14,cz_okres,cz,cz0521,,0
2020-03-14,cz_okres,cz,cz0522,,0
2020-03-14,cz_okres,cz,cz0523,,0
2020-03-14,cz_okres,cz,cz0524,,0
2020-03-14,cz_okres,cz,cz0525,,0
2020-03-14,cz_okres,cz,cz0531,,0
2020-03-14,cz_okres,cz,cz0532,,0
2020-03-14,cz_okres,cz,cz0533,,0
2020-03-14,cz_okres,cz,cz0534,,0
2020-03-14,cz_okres,cz,cz0631,,0
2020-03-14,cz_okres,cz,cz0632,,0
2020-03-14,cz_okres,cz,cz0633,,0
2020-03-14,cz_okres,cz,cz0634,,0
2020-03-14,cz_okres,cz,cz0635,,0
2020-03-14,cz_okres,cz,cz0641,,0
2020-03-14,cz_okres,cz,cz0642,,0
2020-03-14,cz_okres,cz,cz0643,,0
2020-03-14,cz_okres,cz,cz0644,,0
2020-03-14,cz_okres,cz,cz0645,,0
2020-03-14,cz_okres,cz,cz0646,,0
2020-03-14,cz_okres,cz,cz0647,,0
2020-03-14,cz_okres,cz,cz0711,,0
2020-03-14,cz_okres,cz,cz0712,,0
2020-03-14,cz_okres,cz,cz0713,,0
2020-03-14,cz_okres,cz,cz0714,,0
2020-03-14,cz_okres,cz,cz0715,,0
2020-03-14,cz_okres,cz,cz0721,,0
2020-03-14,cz_okres,cz,cz0722,,0
2020-03-14,cz_okres,cz,cz0723,,0
2020-03-14,cz_okres,cz,cz0724,,0
2020-03-14,cz_okres,cz,cz0801,,0
2020-03-14,cz_okres,cz,cz0802,,0
2020-03-14,cz_okres,cz,cz0803,,0
2020-03-14,cz_okres,cz,cz0804,,0
2020-03-14,cz_okres,cz,cz0805,,0
2020-03-14,cz_okres,cz,cz0806,,0
2020-03-14,cz_okres,cz,unknown,,0
2020-03-15,cz_okres,cz,cz0100,,0
2020-03-15,cz_okres,cz,cz0201,,0
2020-03-15,cz_okres,cz,cz0202,,0
2020-03-15,cz_okres,cz,cz0203,,0
2020-03-15,cz_okres,cz,cz0204,,0
2020-03-15,cz_okres,cz,cz0205,,0
2020-03-15,cz_okres,cz,cz0206,,0
2020-03-15,cz_okres,cz,cz0207,,0
2020-03-15,cz_okres,cz,cz0208,,0
2020-03-15,cz_okres,cz,cz0209,,0
2020-03-15,cz_okres,cz,cz020a,,0
2020-03-15,cz_okres,cz,cz020b,,0
2020-03-15,cz_okres,cz,cz020c,,0
2020-03-15,cz_okres,cz,cz0311,,0
2020-03-15,cz_okres,cz,cz0312,,0
2020-03-15,cz_okres,cz,cz0313,,0
2020-03-15,cz_okres,cz,cz0314,,0
2020-03-15,cz_okres,cz,cz0315,,0
2020-03-15,cz_okres,cz,cz0316,,0
2020-03-15,cz_okres,cz,cz0317,,0
2020-03-15,cz_okres,cz,cz0321,,0
2020-03-15,cz_okres,cz,cz0322,,0
2020-03-15,cz_okres,cz,cz0323,,0
2020-03-15,cz_okres,cz,cz0324,,0
2020-03-15,cz_okres,cz,cz0325,,0
2020-03-15,cz_okres,cz,cz0326,,0
2020-03-15,cz_okres,cz,cz0327,,0
2020-03-15,cz_okres,cz,cz0411,,0
2020-03-15,cz_okres,cz,cz0412,,0
2020-03-15,cz_okres,cz,cz0413,,0
2020-03-15,cz_okres,cz,cz0421,,0
2020-03-15,cz_okres,cz,cz0422,,0
2020-03-15,cz_okres,cz,cz0423,,0
2020-03-15,cz_okres,cz,cz0424,,0
2020-03-15,cz_okres,cz,cz0425,,0
2020-03-15,cz_okres,cz,cz0426,,0
2020-03-15,cz_okres,cz,cz0427,,0
2020-03-15,cz_okres,cz,cz0511,,0
2020-03-15,cz_okres,cz,cz0512,,0
2020-03-15,cz_okres,cz,cz0513,,0
2020-03-15,cz_okres,cz,cz0514,,0
2020-03-15,cz_okres,cz,cz0521,,0
2020-03-15,cz_okres,cz,cz0522,,0
2020-03-15,cz_okres,cz,cz0523,,0
2020-03-15,cz_okres,cz,cz0524,,0
2020-03-15,cz_okres,cz,cz0525,,0
2020-03-15,cz_okres,cz,cz0531,,0
2020-03-15,cz_okres,cz,cz0532,,0
2020-03-15,cz_okres,cz,cz0533,,0
2020-03-15,cz_okres,cz,cz0534,,0
2020-03-15,cz_okres,cz,cz0631,,0
2020-03-15,cz_okres,cz,cz0632,,0
2020-03-15,cz_okres,cz,cz0633,,0
2020-03-15,cz_okres,cz,cz0634,,0
2020-03-15,cz_okres,cz,cz0635,,0
2020-03-15,cz_okres,cz,cz0641,,0
2020-03-15,cz_okres,cz,cz0642,,0
2020-03-15,cz_okres,cz,cz0643,,0
2020-03-15,cz_okres,cz,cz0644,,0
2020-03-15,cz_okres,cz,cz0645,,0
2020-03-15,cz_okres,cz,cz0646,,0
2020-03-15,cz_okres,cz,cz0647,,0
2020-03-15,cz_okres,cz,cz0711,,0
2020-03-15,cz_okres,cz,cz0712,,0
2020-03-15,cz_okres,cz,cz0713,,0
2020-03-15,cz_okres,cz,cz0714,,0
2020-03-15,cz_okres,cz,cz0715,,0
2020-03-15,cz_okres,cz,cz0721,,0
2020-03-15,cz_okres,cz,cz0722,,0
2020-03-15,cz_okres,cz,cz0723,,0
2020-03-15,cz_okres,cz,cz0724,,0
